gauge_id,original_split,camelsh_huc02,state,gauge_name,drain_sqkm_attr,actual_valid_target_count,obs_years_usable,first_obs_year_usable,last_obs_year_usable,area,slope,aridity,snow_fraction,soil_depth,permeability,forest_fraction,baseflow_index
01042500,train,01,ME,"Kennebec River at The Forks, Maine",4124.36,93359,32,1991,2024,4124.36,6.891437,0.972485403664593,0.240925658579425,46.70683,2.504921,0.6261171,47.05796
01046500,train,01,ME,"Kennebec River at Bingham, Maine",7056.902,94751,30,1991,2024,7056.902,8.30638,0.962815926966819,0.235907035248981,47.15192,2.796313,0.6582956,46.38742
01059000,train,01,ME,"Androscoggin River near Auburn, Maine",8444.24,93475,32,1991,2024,8444.24,11.79732,0.932155027457626,0.208855588469374,52.14495,3.915301,0.7942453,49.43612
01068910,train,01,ME,"Mousam River at Route 4 near Sanford, Maine",117.3636,23493,15,2009,2024,117.3636,4.522861,1.00989135147409,0.0975005695003832,56.22029,10.05357,0.6489372,55.13145
01069500,train,01,ME,"MOUSAM RIVER NEAR WEST KENNEBUNK, ME",264.5136,18427,16,2009,2024,264.5136,4.263148,0.978659383976318,0.116707994440839,55.45279,10.27942,0.6540604999999999,54.47829
01069700,train,01,ME,"Branch Brook near Kennebunk, Maine",27.9072,13941,11,2009,2023,27.9072,1.79633,0.872920010599424,0.0646601100918551,59.14592,14.1455,0.59936141,51.88919
01073000,train,01,NH,"OYSTER RIVER NEAR DURHAM, NH",31.2984,89783,27,1996,2024,31.2984,2.974744,1.10889142938904,0.0871737543509013,52.22655,5.928185,0.6649413,47.92685
01073319,train,01,NH,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",144.3951,18909,15,2009,2024,144.3951,5.625684,1.09114198884515,0.10112834474538,51.38544,6.402486,0.7705546,47.09602
01073500,train,01,NH,"LAMPREY RIVER NEAR NEWMARKET, NH",471.1374,88892,28,1992,2024,471.1374,4.762227,1.0934296972855,0.0945903130184391,52.20788,6.275693,0.7300712,47.19767
010735562,train,01,NH,"EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH",42.7194,17085,14,2009,2024,42.7194,4.264561,1.10808831913773,0.0987491408103729,53.29773,5.736445,0.6010196,49.94917
01073587,train,01,NH,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",163.053,81194,23,1997,2024,163.053,3.523996,1.11255127168517,0.0957258846492443,53.45191,7.281007,0.62784678,48.18604
01073785,train,01,NH,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",36.9495,57451,18,2004,2024,36.9495,1.731655,0.875224514345993,0.0570822595684332,56.40703,8.075757,0.3742297,49.21099
01075000,train,01,NH,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",504.288,68280,18,2002,2024,504.288,24.98763,0.819221353993636,0.230881800829796,43.31059,5.370974,0.9502052,47.29798
01076000,train,01,NH,"BAKER RIVER NEAR RUMNEY, NH",369.8154,72331,23,2002,2024,369.8154,14.93662,1.02089242202349,0.191483137477707,51.15475,5.883053,0.9189669,47.28946
01076500,train,01,NH,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",1608.937,69907,12,1996,2024,1608.937,19.36739,0.914679872363436,0.203765620064771,47.77667,5.595224,0.9225114,49.04494
01078000,train,01,NH,"SMITH RIVER NEAR BRISTOL, NH",222.4566,86592,29,1996,2024,222.4566,11.38543,1.04483592429239,0.162336083033108,53.50959,5.909197,0.8718635,53.72592
01081000,train,01,NH,"WINNIPESAUKEE RIVER AT TILTON, NH",1216.967,92398,31,1992,2024,1216.967,6.799162,1.03748675912813,0.145666100930457,52.62302,5.558926,0.6263774999999999,62.48288
01081500,train,01,NH,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",3908.064,74586,23,2002,2024,3908.064,13.2584,0.984724440343257,0.171697779986104,50.39354,5.66902,0.801369,55.61221
01082000,train,01,NH,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",175.023,68749,20,2002,2024,175.023,6.412545,1.04951114883155,0.146445507146421,54.3644,5.638893,0.7534426999999999,46.17659
01085500,train,01,NH,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",1099.139,76262,22,2002,2024,1099.139,8.150191,1.01524483300874,0.14544119452781,53.47072,4.652449,0.7803779,46.0541
01086000,train,01,NH,"WARNER RIVER AT DAVISVILLE, NH",381.5766,77011,22,2002,2024,381.5766,10.63811,1.01211900767869,0.145276965581164,52.82017,4.383717,0.8245482,49.75066
01089500,train,01,NH,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",400.7988,21574,13,2009,2024,400.7988,6.830968,1.05733760729715,0.129222053669821,51.70303,4.368893,0.7864044,57.21122
01091000,train,01,NH,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",266.7591,18552,11,2010,2024,266.7591,7.441434,1.03559071944581,0.123608225317449,52.85794,5.254455,0.8013252300000001,46.96327
01092000,train,01,NH,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",7987.65,92992,31,1992,2024,7987.65,10.33687,1.0203089483371,0.152199140615836,51.65795,5.602665,0.7804753,52.94616
01094000,train,01,NH,"SOUHEGAN RIVER AT MERRIMACK, NH",440.5014,73580,23,2002,2024,440.5014,7.298924,1.04026730216691,0.119704800720027,52.63794,5.806166,0.7372150999999999,46.90249
01096000,train,01,MA,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",173.1357,91811,34,1991,2024,173.1357,5.784873,1.07787286952528,0.101357758649294,53.66101,5.170811,0.76903204,49.10186
01096500,train,01,MA,"NASHUA RIVER AT EAST PEPPERELL, MA",1125.681,94679,34,1991,2024,1125.681,5.293751,1.07146703962144,0.0964184432062904,53.60726,5.242598,0.5949524900000001,51.61567
01097000,train,01,MA,"ASSABET RIVER AT MAYNARD, MA",299.3094,92374,33,1991,2024,299.3094,4.454576,1.10691660261575,0.0813480716073488,51.12107,5.761313,0.47462761,55.51283
01097300,train,01,MA,"NASHOBA BROOK NEAR ACTON, MA",30.8718,86460,26,1991,2024,30.8718,2.91386,1.1655180787798,0.0882999540629301,55.74428,7.831978,0.44901178,54.31861
01099500,train,01,MA,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",1035.51,93750,33,1991,2024,1035.51,3.554096,1.13891683613459,0.0793077828110489,52.19366,6.697869,0.40701154,56.42723
01100000,train,01,MA,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",11983.35,91459,33,1991,2024,11983.35,8.445534,1.04511287800626,0.134980821981951,51.94601,5.918044,0.6973457999999999,52.59652
01100505,train,01,NH,"SPICKET RIVER AT NORTH SALEM, NH",42.8643,85592,24,2001,2024,42.8643,4.199907,1.13469704641782,0.0955621909640509,51.25844,4.383058,0.60562286,50.51364
01100561,train,01,MA,"SPICKET RIVER NEAR METHUEN, MA",158.2974,44680,17,2006,2024,158.2974,3.687954,1.13469704641782,0.0955621909640509,52.58309,5.731715,0.47960046,51.30862
01100600,train,01,MA,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",96.4215,92678,33,1991,2024,96.4215,2.643687,1.16611610290095,0.0850865080961761,55.95981,7.661665,0.2091473609999999,56.41058
01100627,train,01,MA,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",173.1114,34687,16,2007,2024,173.1114,2.339778,1.16843382599753,0.0867920743577839,56.45901,9.082905,0.204402532,55.51249
01101500,train,01,MA,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",115.2826,90129,30,1991,2024,115.2826,1.988812,1.13574005257885,0.0848997488090878,55.34562,8.093348,0.25085495,55.10849
01103280,train,01,MA,"CHARLES RIVER AT MEDWAY, MA",169.119,85853,26,1998,2024,169.119,3.011769,1.11682978398906,0.0771767607074997,54.65663,6.963579,0.39107555,57.09153
01103455,train,01,MA,"TROUT BROOK AT DOVER, MA",9.7065,19478,10,2008,2024,9.7065,4.372165,1.11633126600982,0.0770150826220403,47.95859,7.320652,0.6724154400000001,57.97061
01105880,train,01,MA,"HERRING RIVER AT NORTH HARWICH, MA",25.5222,26658,17,2008,2024,25.5222,2.026709,0.633630134790232,0.0160654652040463,59.03433,18.25317,0.43176528,62.67191
01108000,train,01,MA,"TAUNTON RIVER NEAR BRIDGEWATER, MA",677.6388,95506,28,1997,2024,677.6388,1.400248,1.07841890074718,0.0647985358184245,56.11724,8.947747,0.337057,53.70078
01108410,train,01,MA,"MILL RIVER AT SPRING STREET AT TAUNTON, MA",122.022,39510,15,2006,2024,122.022,1.168305,1.11113989359189,0.0740079775756273,55.79979,8.008397,0.4296135,54.1953
01109000,train,01,MA,"WADING RIVER NEAR NORTON, MA",112.7429,94304,34,1991,2024,112.7429,1.585374,1.11505106338059,0.0694309908005873,54.81615,7.30907,0.46000841,55.51092
01109060,train,01,MA,"THREEMILE RIVER AT NORTH DIGHTON, MA",220.1049,92268,32,1991,2024,220.1049,1.350261,1.11735842373774,0.0693088486975442,55.7409,8.43702,0.41538924,55.30711
01109070,train,01,MA,"SEGREGANSET RIVER NEAR DIGHTON, MA",27.1674,92190,32,1991,2024,27.1674,1.560778,1.13320272770434,0.0669414817481388,54.888,2.287813,0.60852716,53.35569
01109403,train,01,RI,"TEN MILE RIVER AT PAWTUCKET AVE @ E PROVIDENCE, RI",137.592,96195,33,1991,2024,137.592,1.660729,1.11505106338059,0.0694309908005873,54.30015,8.277578,0.298266634,54.81898
01109730,train,01,MA,"BLACKSTONE RIVER, W. MAIN ST., AT MILLBURY, MA",185.7519,73747,22,2003,2024,185.7519,5.622692,1.0611091764081,0.0932014212707043,51.098,4.3585,0.4000319499999999,52.89563
01110000,train,01,MA,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",66.08279,90926,33,1991,2024,66.08279,4.575836,1.09206649054738,0.0888292254130539,51.46336,5.440863,0.26713707,53.55557
01111212,train,01,MA,"BLACKSTONE RIVER, RT 122 BRIDGE NEAR UXBRIDGE, MA",631.4301,36459,18,2007,2024,631.4301,5.062727,1.0884722435814,0.0856751182219433,53.03254,5.016446,0.48452585,53.24598
01111300,train,01,RI,"NIPMUC RIVER NEAR HARRISVILLE, RI",41.0625,82529,26,1995,2024,41.0625,3.586106,1.09120648285467,0.0823228767896942,52.67352,5.462716,0.7907726700000001,52.11756
01111500,train,01,RI,"BRANCH RIVER AT FORESTDALE, RI",237.2391,94132,34,1991,2024,237.2391,4.04364,1.09009279508038,0.0762764714941065,52.7104,5.748734,0.69939183,53.18005
01115630,train,01,RI,"NOOSENECK RIVER AT NOOSENECK, RI",21.7368,32779,17,2008,2024,21.7368,4.121547,1.11734984329086,0.0515671662358887,56.16046,3.842747,0.73033291,63.69609
01117370,train,01,RI,QUEEN R AT LIBERTY RD AT LIBERTY RI,50.4774,95646,26,1999,2024,50.4774,3.591315,1.12526323414174,0.0409652103602018,56.9539,6.912434,0.69372033,64.71893
01117468,train,01,RI,"BEAVER RIVER NEAR USQUEPAUG, RI",25.3413,94739,34,1991,2024,25.3413,4.347124,1.11734984329086,0.0515671662358887,55.95877,5.569793,0.73068869,66.49068
01117800,train,01,RI,"WOOD RIVER NEAR ARCADIA, RI",90.76591,95363,34,1991,2024,90.76591,4.616257,1.14400569734934,0.0534510699432835,55.58101,6.53344,0.7339342000000001,61.25875
01118300,train,01,CT,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.",10.3644,86620,30,1991,2024,10.3644,4.700582,1.22429453251157,0.0422631410520998,54.75,5.083,0.7615491994999999,62.38355
01119500,train,01,CT,"WILLIMANTIC RIVER NEAR COVENTRY, CT.",314.8461,78909,25,1992,2024,314.8461,6.644009,1.07342130650543,0.0901118711285926,53.32489,4.994851,0.71499496,52.9709
01121000,train,01,CT,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",70.25372,82321,28,1996,2024,70.25372,6.037301,1.08132534116089,0.092349586919708,53.89714,4.147134,0.7508102200000001,49.19473
