dataset_label,scope,attribute,count,mean,std,min,p10,p25,median,p75,p90,max
prepared_pool,combined,area,1903,3181.958616111403,7016.258106294367,1.1826,50.56632000000001,188.93745,690.6969,2402.518,8384.653799999998,49264.4
prepared_pool,combined,aridity,1903,2.0721707446552866,1.2477015463047079,0.334673740511621,1.115307103906436,1.35021927161461,1.55864143944599,2.42502790964525,3.9035857630938637,17.8662550515297
prepared_pool,combined,baseflow_index,1903,40.15252891224383,16.65569403798165,1.9751,18.329358,26.915115,39.50448,51.37561,63.609456,82.06615
prepared_pool,combined,forest_fraction,1903,0.3921999324790478,0.29414082933389757,0.0,0.015596297620000005,0.1065551424,0.3711704449999999,0.65454268,0.8053957900000001,0.9768499
prepared_pool,combined,permeability,1903,2.5582599194429845,2.1043406132911002,0.3500146,0.7520184000000001,1.233558,1.881851,3.1654315,5.1665,18.25317
prepared_pool,combined,slope,1903,8.498735441445087,9.261815739429194,0.0,1.1108259999999999,2.153753,4.416349,12.09258,21.607215999999998,58.75731
prepared_pool,combined,snow_fraction,1903,0.08414089176118655,0.12098991439936393,0.0,0.00324120301502118,0.0119624908096928,0.0467788538903625,0.08928489930891866,0.21408803039281016,0.807728220966582
prepared_pool,combined,soil_depth,1903,50.42046878087232,9.278704494997188,11.06096,37.34786,44.039275,52.87412,58.630539999999996,59.98787,69.55015
prepared_pool,train,area,1705,3097.3046590674485,6897.5598092871505,1.1826,47.674252,185.517,686.4678,2348.75,8032.1122000000005,49264.4
prepared_pool,train,aridity,1705,2.0693973296202475,1.2518770237961423,0.334673740511621,1.11734984329086,1.35488760540456,1.55561322697831,2.42083646342233,3.8618141652098417,17.8662550515297
prepared_pool,train,baseflow_index,1705,40.25136946686217,16.601269579594238,1.9751,18.424808,27.00372,39.53799,51.43165,63.619036,81.92142
prepared_pool,train,forest_fraction,1705,0.39251473919712404,0.2937967168561978,0.0,0.0158821874015999,0.107856593,0.372357488,0.6549726300000001,0.8053955500000001,0.9768499
prepared_pool,train,permeability,1705,2.552889717302053,2.106836056749774,0.3500146,0.7524852000000001,1.234745,1.8728,3.145341,5.202122800000001,18.25317
prepared_pool,train,slope,1705,8.491754027583577,9.24048064777408,0.0,1.126762,2.153866,4.489267,12.07247,21.588420000000003,58.75731
prepared_pool,train,snow_fraction,1705,0.08427322151887014,0.1219659750362417,0.0,0.0032514604852582197,0.0121118080284036,0.0468757177742748,0.0889413517604811,0.21387860922255555,0.807728220966582
prepared_pool,train,soil_depth,1705,50.37886045161291,9.324069756766695,11.06096,37.28142,43.9527,52.82763,58.6319,59.981548000000004,69.55015
