id,title,section,module,kind,role_hint,priority_hint,source_path,tags,status_hint
agents-1b607d04,docs/ Agent Notes,analysis,main-result,doc,supporting,2,docs/AGENTS.md,analysis;main-result;doc,ready
claude-93b698cf,Claude,analysis,main-result,doc,supporting,2,docs/CLAUDE.md,analysis;main-result;doc,ready
readme-9f7cbce1,Documentation Layout,analysis,main-result,doc,supporting,2,docs/README.md,analysis;main-result;doc,ready
readme-98f9f271,Archive Docs,analysis,main-result,doc,archive,3,docs/archive/README.md,analysis;main-result;doc,archive
03-event-regime-performance-33678dfd,03 Event-Regime 성능 분석,analysis,event-regime,doc,archive,3,docs/archive/analysis_legacy/03_event_regime_performance.md,analysis;event-regime;doc,archive
04-extreme-flood-proxy-performance-d5884f35,04 Extreme Flood Proxy 성능 분석,analysis,main-result,doc,archive,3,docs/archive/analysis_legacy/04_extreme_flood_proxy_performance.md,analysis;main-result;doc,archive
05-extreme-rain-stress-test-b34445c9,05 Extreme-Rain Stress Test 분석,analysis,stress,doc,archive,3,docs/archive/analysis_legacy/05_extreme_rain_stress_test.md,analysis;stress;doc,needs-rerun
06-checkpoint-sensitivity-d6a8b433,06 Checkpoint Sensitivity 분석,analysis,main-result,doc,archive,3,docs/archive/analysis_legacy/06_checkpoint_sensitivity.md,analysis;main-result;doc,archive
07-broad-vs-natural-robustness-d1d39acb,07 Broad vs Natural Robustness 분석,analysis,main-result,doc,archive,3,docs/archive/analysis_legacy/07_broad_vs_natural_robustness.md,analysis;main-result;doc,archive
09-event-suppression-diagnosis-protocol-752d5471,09 Event Suppression / Managed-Flow Diagnosis Protocol,analysis,main-result,doc,archive,3,docs/archive/analysis_legacy/09_event_suppression_diagnosis_protocol.md,analysis;main-result;doc,archive
10-event-surrogate-shap-340049ba,10 Event-Level Surrogate SHAP 분석,analysis,main-result,doc,archive,3,docs/archive/analysis_legacy/10_event_surrogate_shap.md,analysis;main-result;doc,archive
subset300-hydrograph-interpretation-report-47175278,Subset300 Hydrograph Output Analysis,analysis,hydrograph,report,archive,3,docs/archive/analysis_legacy/subset300_hydrograph_interpretation_report.md,analysis;hydrograph;report,archive
research-plan-extreme-flood-underestimation-2dae4534,극한 홍수 첨두 과소추정 완화를 위한 Multi-Basin LSTM 확장 연구계획서,analysis,main-result,doc,archive,3,docs/archive/proposals/research-plan-extreme-flood-underestimation.md,analysis;main-result;doc,archive
research-proposal-submission-draft-2089dbf8,제출용 연구계획서 초안,analysis,main-result,doc,archive,3,docs/archive/proposals/research-proposal-submission-draft.md,analysis;main-result;doc,archive
readme-66cd79b8,Experiment Docs,analysis,main-result,doc,supporting,2,docs/experiment/README.md,analysis;main-result;doc,ready
readme-10242cf0,Experiment Analysis,analysis,main-result,doc,canonical,1,docs/experiment/analysis/README.md,analysis;main-result;doc,ready
subset300-representativeness-report-9c1769fe,Subset300 Representativeness Report,foundation,basin,report,canonical,1,docs/experiment/analysis/basin/subset300_representativeness_report.md,foundation;basin;report,ready
00-research-question-analysis-map-098ddac7,00 연구 질문 ↔ 분석 매핑 (expanded DRBC rebuild),analysis,main-result,doc,canonical,1,docs/experiment/analysis/model/00_research_question_analysis_map.md,analysis;main-result;doc,ready
01-q50-central-c5de48d6,01 RQ-1 — q50 Central Performance,analysis,main-result,doc,canonical,1,docs/experiment/analysis/model/01_q50_central.md,analysis;main-result;doc,ready
02-upper-quantile-peak-under-907b8ce2,02 RQ-2 — Upper Quantile Peak Underestimation Reduction,analysis,main-result,doc,canonical,1,docs/experiment/analysis/model/02_upper_quantile_peak_under.md,analysis;main-result;doc,ready
03-cost-c0a47501,03 RQ-3 Cost — False Alarm Rate + Over-prediction Magnitude,analysis,main-result,doc,canonical,1,docs/experiment/analysis/model/03_cost.md,analysis;main-result;doc,ready
